trip_id,pattern_id,pattern_name
13657311,285822,E1
13657312,285822,E1
13657313,285822,E1
13657314,285822,E1
13657315,285822,E1
13657316,285822,E1
13657317,285822,E1
13657318,285822,E1
13657319,285822,E1
13657321,285822,E1
13657323,285822,E1
13657324,285822,E1
13657327,285822,E1
13657329,285822,E1
13657332,285822,E1
13657334,285822,E1
13657336,285822,E1
13657338,285822,E1
13657340,285822,E1
13657342,285822,E1
13657344,285822,E1
13657346,285822,E1
13657348,285822,E1
13657350,285822,E1
13657352,285822,E1
13657354,285822,E1
13657356,285822,E1
13657358,285822,E1
13657360,285822,E1
13657362,285822,E1
13657364,285822,E1
13657365,285822,E1
13657367,285822,E1
13657369,285822,E1
13657372,285822,E1
13657373,285822,E1
13657375,285822,E1
13657377,285822,E1
13657379,285822,E1
13657382,285822,E1
13657384,285822,E1
13657385,285822,E1
13657388,285822,E1
13657390,285822,E1
13657391,285822,E1
13657393,285822,E1
13657394,285822,E1
13657396,285822,E1
13657397,285822,E1
13657398,285822,E1
13657399,285822,E1
13657400,285822,E1
13657401,285822,E1
13657402,285822,E1
13657403,285822,E1
13657404,285822,E1
13657405,285822,E1
13657406,285822,E1
13657407,285822,E1
13657408,285822,E1
13657409,285822,E1
13657410,285822,E1
13657411,285822,E1
13657412,285822,E1
13657413,285822,E1
13657414,285822,E1
13657415,285822,E1
13657416,285822,E1
13657417,285822,E1
13657418,285822,E1
13657419,285822,E1
13657420,285822,E1
13657530,285822,E1
13657531,285822,E1
13657532,285822,E1
13657533,285822,E1
13657534,285822,E1
13657535,285822,E1
13657536,285822,E1
13657537,285822,E1
13657538,285822,E1
13657539,285822,E1
13657540,285822,E1
13657541,285822,E1
13657542,285822,E1
13657544,285822,E1
13657546,285822,E1
13657548,285822,E1
13657550,285822,E1
13657552,285822,E1
13657554,285822,E1
13657556,285822,E1
13657557,285822,E1
13657559,285822,E1
13657561,285822,E1
13657563,285822,E1
13657565,285822,E1
13657567,285822,E1
13657568,285822,E1
13657570,285822,E1
13657598,285822,E1
13657600,285822,E1
13657602,285822,E1
13657603,285822,E1
13657604,285822,E1
13657605,285822,E1
13657606,285822,E1
13657607,285822,E1
13657608,285822,E1
13657609,285822,E1
13657610,285822,E1
13657611,285822,E1
13657612,285822,E1
13657613,285822,E1
13657614,285822,E1
13657615,285822,E1
13657616,285822,E1
13657617,285822,E1
13657618,285822,E1
13657619,285822,E1
13657620,285822,E1
13657621,285822,E1
13657622,285822,E1
13657623,285822,E1
13657624,285822,E1
13657625,285822,E1
13657626,285822,E1
13657725,285822,E1
13657726,285822,E1
13657727,285822,E1
13657728,285822,E1
13657729,285822,E1
13657730,285822,E1
13657731,285822,E1
13657732,285822,E1
13657733,285822,E1
13657734,285822,E1
13657735,285822,E1
13657736,285822,E1
13657737,285822,E1
13657738,285822,E1
13657740,285822,E1
13657742,285822,E1
13657744,285822,E1
13657746,285822,E1
13657748,285822,E1
13657750,285822,E1
13657752,285822,E1
13657754,285822,E1
13657755,285822,E1
13657757,285822,E1
13657759,285822,E1
13657760,285822,E1
13657792,285822,E1
13657794,285822,E1
13657795,285822,E1
13657796,285822,E1
13657797,285822,E1
13657798,285822,E1
13657799,285822,E1
13657800,285822,E1
13657801,285822,E1
13657802,285822,E1
13657803,285822,E1
13657804,285822,E1
13657805,285822,E1
13657806,285822,E1
13657807,285822,E1
13657808,285822,E1
13657809,285822,E1
13657810,285822,E1
13657811,285822,E1
13657812,285822,E1
13657813,285822,E1
13657814,285822,E1
13657815,285822,E1
13657816,285822,E1
13657817,285822,E1
13657818,285822,E1
13657819,285822,E1
13657820,285822,E1
13657821,285822,E1
13719393,285822,E1
13719394,285822,E1
13719395,285822,E1
13719396,285822,E1
13719397,285822,E1
13719398,285822,E1
13719399,285822,E1
13719400,285822,E1
13719401,285822,E1
13719402,285822,E1
13719403,285822,E1
13720782,285822,E1
13720783,285822,E1
13720784,285822,E1
13720785,285822,E1
13720786,285822,E1
13720787,285822,E1
13720788,285822,E1
13720789,285822,E1
13720790,285822,E1
13720791,285822,E1
13720792,285822,E1
13720793,285822,E1
13720795,285822,E1
13657322,285823,E2
13657325,285823,E2
13657328,285823,E2
13657331,285823,E2
13657333,285823,E2
13657335,285823,E2
13657337,285823,E2
